Location ,Part code,updated_loc,
GF/A/001,SAMPLE RACKS,GF/A/001-A
GF/A/002,SAMPLE RACKS,GF/A/002-A
GF/A/003,SAMPLE RACKS,GF/A/003-A
GF/A/004,SAMPLE RACKS,GF/A/004-A
GF/A/005,100 % INSPECTION LOCATION,GF/A/005-A
GF/A/006,100 % INSPECTION LOCATION,GF/A/006-A
GF/A/007,100 % INSPECTION LOCATION,GF/A/007-A
GF/A/008,100 % INSPECTION LOCATION,GF/A/008-A
GF/A/009,100 % INSPECTION LOCATION,GF/A/009-A
GF/A/010,100 % INSPECTION LOCATION,GF/A/010-A
GF/A/011,100 % INSPECTION LOCATION,GF/A/011-A
GF/A/012,100 % INSPECTION LOCATION,GF/A/012-A
GF/F/103,12014055,GF/F/103-A
GF/F/104,12037146,GF/F/104-A
GF/F/105,12000800,GF/F/105-A
GF/F/105,12000067,GF/F/105-B
GF/F/106,12014804,GF/F/106-A
GF/F/106,16003004,GF/F/106-B
GF/F/107,12014818,GF/F/107-A
GF/F/108,12037146,GF/F/108-A
GF/G/109,16003010,GF/G/109-A
GF/G/110,12015114,GF/G/110-A
GF/G/110,12019315,GF/G/110-B
GF/G/110,12019726,GF/G/110-C
GF/G/111,12019798,GF/G/111-A
GF/G/111,12020099,GF/G/111-B
GF/G/112,12019798,GF/G/112-A
GF/G/113,16003812,GF/G/113-A
GF/G/114,12019728,GF/G/114-A
GF/G/114,16003814,GF/G/114-B
GF/G/115,12009538,GF/G/115-A
GF/G/116,12019798,GF/G/116-A
GF/G/117,12019932,GF/G/117-A
GF/G/118,12019983,GF/G/118-A
GF/G/118,12019983,GF/G/118-B
GF/G/119,12009538,GF/G/119-A
GF/G/120,12019798,GF/G/120-A
GF/G/121,12019933,GF/G/121-A
GF/G/122,12021610,GF/G/122-A
GF/G/122,12022995,GF/G/122-B
GF/G/123,12019798,GF/G/123-A
GF/G/124,12019798,GF/G/124-A
GF/G/125,16000387,GF/G/125-A
GF/G/126,12022395,GF/G/126-A
GF/G/127,12014482,GF/G/127-A
GF/G/128,12019798,GF/G/128-A
GF/H/129,12000009,GF/H/129-A
GF/H/130,12023650,GF/H/130-A
GF/H/130,12023651,GF/H/130-B
GF/H/130,12023652,GF/H/130-C
GF/H/131,12000676,GF/H/131-A
GF/H/132,12019798,GF/H/132-A
GF/H/133,16003473,GF/H/133-A
GF/H/134,12024259,GF/H/134-A
GF/H/134,16003813,GF/H/134-B
GF/H/135,12000676,GF/H/135-A
GF/H/136,12019798,GF/H/136-A
GF/H/137,12019202,GF/H/137-A
GF/H/137,12025702,GF/H/137-B
GF/H/137,12009452,GF/H/137-C
GF/H/138,16003008,GF/H/138-A
GF/H/139,16003009,GF/H/139-A
GF/H/140,12036393,GF/H/140-A
GF/H/141,12000009,GF/H/141-A
GF/H/141,12021790,GF/H/141-B
GF/H/142,16000464,GF/H/142-A
GF/H/142,12014373,GF/H/142-B
GF/H/143,12024865,GF/H/143-A
GF/H/143,12025539,GF/H/143-B
GF/H/144,12036393,GF/H/144-A
GF/H/145,12033952,GF/H/145-A
GF/H/145,12014459,GF/H/145-B
GF/H/146,12013333,GF/H/146-A
GF/H/146,16009310,GF/H/146-B
GF/H/147,12024986,GF/H/147-A
GF/H/147,12025657,GF/H/147-B
GF/H/148,12036393,GF/H/148-A
1F/A/149,12027121,1F/A/149-A
1F/A/150,12027121,1F/A/150-A
1F/A/151,12027121,1F/A/151-A
1F/A/152,12027121,1F/A/152-A
1F/A/153,12027121,1F/A/153-A
1F/A/154,12027121,1F/A/154-A
1F/A/155,12027121,1F/A/155-A
1F/A/156,12027121,1F/A/156-A
1F/A/157,12027121,1F/A/157-A
1F/A/158,12027121,1F/A/158-A
1F/A/159,12027121,1F/A/159-A
1F/A/160,12027121,1F/A/160-A
1F/B/161,12029601,1F/B/161-A
1F/B/162,16019689,1F/B/162-A
1F/B/162,12023665,1F/B/162-B
1F/B/163,12023666,1F/B/163-A
1F/B/163,12023667,1F/B/163-B
1F/B/164,12023437,1F/B/164-A
1F/B/164,12023436,1F/B/164-B
1F/B/164,12023438,1F/B/164-C
1F/B/164,12023435,1F/B/164-D
1F/B/165,12023441,1F/B/165-A
1F/B/165,12023442,1F/B/165-B
1F/B/166,12023440,1F/B/166-A
1F/B/167,12037146,1F/B/167-A
1F/B/168,12035656,1F/B/168-A
1F/B/169,12034835,1F/B/169-A
1F/B/170,12034835,1F/B/170-A
1F/B/171,12023443,1F/B/171-A
1F/B/172,12024981,1F/B/172-A
1F/B/173,12026550,1F/B/173-A
1F/B/173,12023526,1F/B/173-B
1F/B/174,12023430,1F/B/174-A
1F/B/174,12023433,1F/B/174-B
1F/B/175,12023431,1F/B/175-A
1F/B/175,12023432,1F/B/175-B
1F/B/176,12023092,1F/B/176-A
1F/C/177,12024982,1F/C/177-A
1F/C/177,12024271,1F/C/177-B
1F/C/178,16021625,1F/C/178-A
1F/C/178,16021626,1F/C/178-B
1F/C/179,16021634,1F/C/179-A
1F/C/179,16021635,1F/C/179-B
1F/C/180,12024984,1F/C/180-A
1F/C/180,12023093,1F/C/180-B
1F/C/180,12024983,1F/C/180-C
1F/C/180,12023582,1F/C/180-D
1F/C/180,12023583,1F/C/180-E
1F/C/180,12023580,1F/C/180-F
1F/C/181,16021636,1F/C/181-A
1F/C/181,16021637,1F/C/181-B
1F/C/181,16021639,1F/C/181-C
1F/C/181,16021638,1F/C/181-D
1F/C/182,12024270,1F/C/182-A
1F/C/182,12024273,1F/C/182-B
1F/C/183,12024272,1F/C/183-A
1F/C/183,12024274,1F/C/183-B
1F/C/184,12023581,1F/C/184-A
1F/C/184,16021640,1F/C/184-B
1F/C/184,12023434,1F/C/184-C
1F/C/184,12024251,1F/C/184-D
1F/C/184,12024280,1F/C/184-E
1F/C/185,12014395,1F/C/185-A
1F/C/185,12019309,1F/C/185-B
1F/C/186,12022745,1F/C/186-A
1F/C/187,12024279,1F/C/187-A
1F/C/187,12020421,1F/C/187-B
1F/C/187,12014495,1F/C/187-C
1F/C/187,12003926,1F/C/187-D
1F/C/188,12020039,1F/C/188-A
1F/C/188,12019204,1F/C/188-B
1F/C/188,12019450,1F/C/188-C
1F/C/189,12000140,1F/C/189-A
1F/C/189,12000141,1F/C/189-B
1F/C/190,12000167,1F/C/190-A
1F/C/190,12000168,1F/C/190-B
1F/C/190,12000170,1F/C/190-C
1F/C/191,12000176,1F/C/191-A
1F/C/191,12000177,1F/C/191-B
1F/C/191,12000179,1F/C/191-C
1F/C/191,12000193,1F/C/191-D
1F/C/192,12024276,1F/C/192-A
1F/C/192,12024275,1F/C/192-B
1F/C/192,12024278,1F/C/192-C
1F/C/192,12014993,1F/C/192-D
1F/C/192,12014566,1F/C/192-E
1F/C/192,12015070,1F/C/192-F
1F/C/192,12024277,1F/C/192-G
1F/C/193,12000201,1F/C/193-A
1F/C/193,12000202,1F/C/193-B
1F/C/193,12000359,1F/C/193-C
1F/C/193,12000360,1F/C/193-D
1F/C/194,12000362,1F/C/194-A
1F/C/194,12000363,1F/C/194-B
1F/C/194,12000364,1F/C/194-C
1F/C/194,12000367,1F/C/194-D
1F/C/195,16000093,1F/C/195-A
1F/C/196,12000361,1F/C/196-A
1F/C/196,12000365,1F/C/196-B
1F/C/196,12000374,1F/C/196-C
1F/C/196,12000378,1F/C/196-D
1F/D/197,12000477,1F/D/197-A
1F/D/198,12000444,1F/D/198-A
1F/D/198,12000447,1F/D/198-B
1F/D/198,12000451,1F/D/198-C
1F/D/199,12000433,1F/D/199-A
1F/D/199,12000434,1F/D/199-B
1F/D/199,12000435,1F/D/199-C
1F/D/199,12000440,1F/D/199-D
1F/D/200,12000379,1F/D/200-A
1F/D/200,12000380,1F/D/200-B
1F/D/200,12000429,1F/D/200-C
1F/D/200,12000431,1F/D/200-D
1F/D/201,12000491,1F/D/201-A
1F/D/202,12000560,1F/D/202-A
1F/D/203,12000560,1F/D/203-A
1F/D/204,12000500,1F/D/204-A
1F/D/204,12000579,1F/D/204-B
1F/D/204,12000580,1F/D/204-C
1F/D/204,12000590,1F/D/204-D
1F/D/205,12000591,1F/D/205-A
1F/D/205,12000605,1F/D/205-B
